parcel_uuid,project_id,project_type,state,district,village,survey_number,sub_division_number,official_owner,official_area,land_classification,record_status,land_area_sqm,location_type,latitude,longitude,base_market_value,multiplier,asset_value,solatium_100_percent,total_compensation,number_of_parcels,number_of_owners,affected_families,proposal_days,verification_days,approval_days,notification_days,award_days,compensation_days,possession_days,rr_days,missing_documents,verification_rejections,approval_resubmissions,land_record_issues,boundary_disputes,ownership_disputes,legal_cases,compensation_percentage,possession_percentage,rr_percentage,previous_delays,current_pending_tasks,target_completion_days,actual_completion_days,delay_days,delayed,survey_officer_name,landowner_name,project_issue_date,project_deadline_date
UP-LKO-2026-10277,P008,Transmission,Maharashtra,Nashik,Ozar,157/2A,2A,Priya Mishra,3.2 acres,Multi-crop,Disputed,12949.95,RURAL,26.9021,81.2232,18375979.05,2.11,200000,38973315.8,77946631.59,8,8,9,25,50,36,89,90,40,37,140,0,3,2,2,1,2,0,50,0,0,3,10,378,487,109,1,Priya Sharma,Priya Mishra,21-10-2025,03-11-2026
UP-LKO-2026-10278,P007,Transmission,Bihar,Muzaffarpur,PQR Village,105/3,3,Manoj Kumar,1.84 acres,Multi-crop,Verified,7446.22,RURAL,26.9023,81.2242,22949250.04,3.13,0,71831152.63,143662305.3,2,5,4,29,29,15,38,36,63,10,52,0,1,2,0,3,0,0,0,0,50,0,3,280,310,30,1,Priya Deshmukh,Manoj Kumar,22-07-2025,28-04-2026
UP-LKO-2026-10279,P004,Transmission,Tamil Nadu,Karaikudi,Kanadukathan,57/B,B,Priya Verma,3.34 acres,Residential,Active,13516.51,RURAL,26.9025,81.2252,13867939.26,2.41,200000,33621733.62,67243467.23,9,10,3,22,22,27,64,67,95,11,36,0,0,2,1,0,0,0,25,0,50,2,2,304,308,4,1,Ramesh Singh,Priya Verma,09-01-2025,09-11-2025
UP-LKO-2026-10280,P004,Highway,Bihar,Muzaffarpur,PQR Village,232/2A,2A,Rahul Kumar,2.46 acres,Commercial,Active,9955.28,RURAL,26.9027,81.2262,20129576.16,3.27,200000,66023714.04,132047428.1,9,9,18,27,25,24,37,113,83,10,82,4,3,1,3,3,1,1,100,50,50,3,9,362,574,212,1,Meena Deshmukh,Rahul Kumar,17-10-2025,14-10-2026
UP-LKO-2026-10281,P002,Highway,Bihar,Patna,ABC Village,29/2A,2A,Priya Devi,4.42 acres,Commercial,Pending Review,17887.12,RURAL,26.9029,81.2272,54036989.52,3.4,50000,183775764.4,367551528.7,6,6,13,24,43,10,51,60,28,24,137,1,1,1,2,1,2,0,75,100,50,2,5,277,360,83,1,Meena Reddy,Priya Devi,18-03-2025,20-12-2025
UP-LKO-2026-10282,P004,Railway,Tamil Nadu,Chennai,Kolathur,121/A,A,Rahul Yadav,0.8 acres,Agricultural,Active,3237.49,RURAL,26.9031,81.2282,3674551.15,3.09,50000,11404363.05,22808726.11,2,6,9,24,54,36,51,46,38,24,30,0,3,1,1,0,0,0,100,0,0,2,8,223,273,50,1,Priya Reddy,Rahul Yadav,15-01-2025,26-08-2025
UP-LKO-2026-10283,P009,Railway,Uttar Pradesh,Varanasi,Sarnath,149/2A,2A,Priya Sharma,4.56 acres,Commercial,Active,18453.68,RURAL,26.9033,81.2292,59254766.48,2.95,0,174801561.1,349603122.2,2,7,12,20,44,25,74,72,74,50,76,1,0,0,4,1,1,0,25,0,100,1,0,254,434,180,1,Kavita Reddy,Priya Sharma,16-11-2025,28-07-2026
UP-LKO-2026-10284,P008,Transmission,Tamil Nadu,Karaikudi,Kanadukathan,152/B,B,Neha Yadav,4.94 acres,Multi-crop,Active,19991.49,RURAL,26.9035,81.2302,43801354.59,3.17,50000,138900294.1,277800588.1,5,10,20,24,23,21,55,47,89,19,98,0,2,1,2,2,1,1,50,0,100,1,0,291,503,212,1,Deepa Patil,Neha Yadav,30-07-2025,17-05-2026
UP-LKO-2026-10285,P009,Railway,Uttar Pradesh,Kanpur,Bithoor,180/2A,2A,Pooja Verma,3.76 acres,Commercial,Verified,15216.19,URBAN,26.9037,81.2312,25745793.48,1.49,0,38361232.29,76722464.57,7,9,1,19,22,21,30,32,71,32,20,1,0,2,1,1,1,0,75,50,50,1,5,214,302,88,1,Sanjay Yadav,Pooja Verma,23-08-2025,25-03-2026
UP-LKO-2026-10286,P003,Railway,Tamil Nadu,Karaikudi,Kanadukathan,114/1,1,Priya Verma,2.05 acres,Commercial,Disputed,8296.06,RURAL,26.9039,81.2322,14128190.18,3.97,50000,56138915.01,112277830,3,5,10,25,21,33,65,33,81,46,104,2,1,1,1,1,2,0,75,0,0,0,1,201,424,223,1,Meena Deshmukh,Priya Verma,04-11-2025,24-05-2026
UP-LKO-2026-10287,P005,Railway,Uttar Pradesh,Lucknow,Malhaur,97/B,B,Ramesh Mishra,2.94 acres,Agricultural,Active,11897.77,URBAN,26.9041,81.2332,14979292.43,1.43,200000,21620388.17,43240776.35,9,12,18,26,52,27,47,57,16,29,130,0,1,0,4,3,1,0,75,0,100,3,5,327,389,62,1,Rajesh Das,Ramesh Mishra,24-07-2025,16-06-2026
UP-LKO-2026-10288,P004,Transmission,Tamil Nadu,Chennai,Kolathur,30-Jan,1,Vikram Mishra,0.87 acres,Agricultural,Disputed,3520.77,RURAL,26.9043,81.2342,14026747.68,3.6,0,50496291.65,100992583.3,9,12,9,11,16,14,75,52,71,50,41,0,3,2,1,3,0,2,0,0,50,0,8,227,619,392,1,Meena Joshi,Vikram Mishra,19-04-2025,02-12-2025
UP-LKO-2026-10289,P002,Railway,Tamil Nadu,Coonor,Hubbathala,213/A,A,Manoj Verma,1.53 acres,Multi-crop,Disputed,6191.7,RURAL,26.9045,81.2352,20451185.1,3.74,0,76487432.27,152974864.5,3,6,7,18,24,21,41,54,68,16,47,1,0,1,1,3,2,2,75,0,0,2,8,316,662,346,1,Kavita Joshi,Manoj Verma,11-03-2025,21-01-2026
UP-LKO-2026-10290,P002,Railway,Uttar Pradesh,Kanpur,Bithoor,43/A,A,Sunita Sharma,1.04 acres,Residential,Active,4208.73,URBAN,26.9047,81.2362,16346707.32,1.58,50000,25877797.57,51755595.13,4,8,10,24,27,21,55,87,78,40,73,4,1,0,2,2,1,2,50,0,0,1,8,300,677,377,1,Meena Iyer,Sunita Sharma,05-12-2025,01-10-2026
UP-LKO-2026-10291,P002,Railway,Tamil Nadu,Karaikudi,Kanadukathan,127/B,B,Anjali Yadav,1.91 acres,Agricultural,Verified,7729.5,RURAL,26.9049,81.2372,21480280.5,2.97,0,63796433.09,127592866.2,1,2,16,16,17,42,80,80,22,57,67,4,1,0,4,0,0,0,75,0,50,2,10,399,314,0,0,Kavita Sharma,Anjali Yadav,07-01-2025,10-02-2026
UP-LKO-2026-10292,P001,Highway,Bihar,Patna,ABC Village,150/A,A,Pooja Mishra,4.52 acres,Commercial,Verified,18291.81,RURAL,26.9051,81.2382,66252935.82,2.63,0,174245221.2,348490442.4,2,4,20,25,57,26,79,52,78,58,67,0,1,0,2,1,0,0,25,0,100,1,4,291,405,114,1,Kavita Yadav,Pooja Mishra,21-06-2025,08-04-2026
UP-LKO-2026-10293,P009,Railway,Uttar Pradesh,Lucknow,Malhaur,76/2A,2A,Anjali Yadav,4.14 acres,Residential,Active,16754,URBAN,26.9053,81.2392,60113352,1.34,50000,80601891.68,161203783.4,2,7,1,13,28,24,58,82,85,48,139,5,3,1,4,1,0,0,25,0,100,0,10,382,368,0,0,Ramesh Yadav,Anjali Yadav,01-01-2025,18-01-2026
UP-LKO-2026-10294,P006,Transmission,Maharashtra,Nashik,Ozar,34/1,1,Ramesh Verma,3.5 acres,Multi-crop,Active,14164.01,RURAL,26.9055,81.2402,30863377.79,2.38,0,73454839.14,146909678.3,6,6,14,13,32,17,57,76,73,36,122,3,1,1,4,0,0,2,25,0,100,2,7,381,544,163,1,Rajesh Iyer,Ramesh Verma,11-11-2025,27-11-2026
UP-LKO-2026-10295,P002,Transmission,Tamil Nadu,Karaikudi,Kanadukathan,188/A,A,Vikram Sharma,1.14 acres,Multi-crop,Active,4613.42,RURAL,26.9057,81.2412,7390698.84,2.18,50000,16161723.47,32323446.94,8,13,18,14,37,11,44,33,35,11,144,2,3,1,0,1,1,2,100,50,0,0,10,302,500,198,1,Sanjay Joshi,Vikram Sharma,20-10-2025,18-08-2026
UP-LKO-2026-10296,P007,Railway,Bihar,Muzaffarpur,PQR Village,152/2A,2A,Vikram Mishra,4.89 acres,Multi-crop,Disputed,19789.15,RURAL,26.9059,81.2422,50125916.95,3.87,200000,194187298.6,388374597.2,2,7,11,18,46,34,85,39,18,30,98,2,0,0,0,1,1,1,50,0,100,1,7,286,465,179,1,Meena Das,Vikram Mishra,03-12-2025,15-09-2026
UP-LKO-2026-10297,P003,Railway,Tamil Nadu,Coonor,Hubbathala,91/1,1,Neha Devi,0.86 acres,Commercial,Verified,3480.3,RURAL,26.9061,81.2432,13851594,3.7,0,51250897.8,102501795.6,2,5,11,12,24,12,90,33,74,15,129,5,3,2,3,3,1,0,0,0,50,3,10,300,395,95,1,Priya Sharma,Neha Devi,11-07-2025,07-05-2026
UP-LKO-2026-10298,P009,Railway,Tamil Nadu,Chennai,Kolathur,25/A,A,Anjali Sharma,4.97 acres,Agricultural,Pending Review,20112.89,RURAL,26.9063,81.2442,23049371.94,2.16,50000,49836643.39,99673286.78,2,3,16,10,19,44,83,36,22,17,87,0,3,2,2,0,2,1,50,0,50,1,3,291,441,150,1,Priya Reddy,Anjali Sharma,06-01-2025,24-10-2025
UP-LKO-2026-10299,P003,Transmission,Tamil Nadu,Karaikudi,Kanadukathan,178/2A,2A,Amit Yadav,2.43 acres,Multi-crop,Disputed,9833.87,RURAL,26.9065,81.2452,10561576.38,3.14,200000,33363349.83,66726699.67,9,11,14,28,35,23,60,94,29,56,99,0,3,0,0,2,1,2,25,0,0,0,5,309,670,361,1,Rajesh Das,Amit Yadav,27-03-2025,30-01-2026
UP-LKO-2026-10300,P002,Railway,Tamil Nadu,Coonor,Hubbathala,71/2A,2A,Rahul Devi,4.32 acres,Commercial,Disputed,17482.44,RURAL,26.9067,81.2462,66922780.32,3.53,0,236237414.5,472474829.1,2,5,18,23,38,10,77,74,38,39,102,2,3,0,0,1,2,0,50,0,100,0,9,339,419,80,1,Suresh Reddy,Rahul Devi,11-06-2025,16-05-2026
UP-LKO-2026-10301,P009,Railway,Tamil Nadu,Chennai,Kolathur,27-Mar,3,Neha Kumar,4.8 acres,Residential,Active,19424.93,RURAL,26.9069,81.2472,38072862.8,2.48,50000,94470699.74,188941399.5,5,7,18,24,18,43,69,61,87,59,130,4,3,2,4,0,2,2,0,0,0,1,9,267,691,424,1,Anil Singh,Neha Kumar,24-07-2025,17-04-2026
UP-LKO-2026-10302,P005,Transmission,Uttar Pradesh,Lucknow,Malhaur,179/1,1,Sunita Mishra,2.54 acres,Commercial,Pending Review,10279.02,URBAN,26.9071,81.2482,30292271.94,1.89,200000,57452393.97,114904787.9,8,13,20,16,30,19,73,43,32,38,111,2,2,0,4,0,1,0,100,50,0,3,10,367,296,0,0,Arvind Verma,Sunita Mishra,24-05-2025,26-05-2026
UP-LKO-2026-10303,P009,Highway,Tamil Nadu,Chennai,Kolathur,92/2A,2A,Manoj Yadav,2.78 acres,Multi-crop,Disputed,11250.27,RURAL,26.9073,81.2492,27349406.37,3.84,200000,105221720.5,210443440.9,6,6,12,24,40,35,81,82,32,16,47,1,1,0,1,1,2,0,50,0,100,2,7,203,430,227,1,Deepa Das,Manoj Yadav,23-06-2025,12-01-2026
UP-LKO-2026-10304,P008,Transmission,Bihar,Patna,ABC Village,184/2A,2A,Pooja Verma,2.59 acres,Agricultural,Verified,10481.37,RURAL,26.9075,81.2502,33949157.43,3.52,50000,119551034.2,239102068.3,5,9,14,15,29,14,62,73,16,15,59,4,2,1,1,1,0,2,100,0,0,3,5,229,494,265,1,Priya Reddy,Pooja Verma,06-01-2025,23-08-2025
UP-LKO-2026-10305,P001,Transmission,Maharashtra,Nagpur,Butibori,19/A,A,Pooja Mishra,4.75 acres,Agricultural,Active,19222.58,URBAN,26.9077,81.2512,62088933.4,1.26,0,78232056.08,156464112.2,8,13,7,27,57,22,72,94,60,26,103,3,2,2,4,0,2,0,100,100,0,2,2,324,448,124,1,Kavita Das,Pooja Mishra,02-04-2025,20-02-2026
UP-LKO-2026-10306,P002,Transmission,Tamil Nadu,Chennai,Kolathur,231/2A,2A,Vikram Verma,3.72 acres,Multi-crop,Verified,15054.32,RURAL,26.9079,81.2522,42648888.56,3.98,0,169742576.5,339485152.9,6,9,15,14,54,16,83,50,20,48,112,4,3,0,4,3,0,2,25,0,100,3,2,298,615,317,1,Sanjay Reddy,Vikram Verma,27-08-2025,21-06-2026
UP-LKO-2026-10307,P007,Transmission,Uttar Pradesh,Lucknow,Malhaur,200/B,B,Neha Devi,4.28 acres,Agricultural,Disputed,17320.56,URBAN,26.9081,81.2532,50524073.52,1.61,50000,81393758.37,162787516.7,6,10,20,15,36,29,38,104,63,24,42,3,3,2,2,1,2,0,100,0,100,3,10,332,429,97,1,Deepa Deshmukh,Neha Devi,08-10-2025,05-09-2026
UP-LKO-2026-10308,P009,Highway,Bihar,Patna,ABC Village,211/1,1,Sunita Mishra,2.85 acres,Multi-crop,Pending Review,11533.55,RURAL,26.9083,81.2542,27772788.4,2.79,200000,77686079.64,155372159.3,2,5,6,16,46,16,42,71,77,24,106,5,3,0,4,0,2,2,25,0,50,3,1,386,622,236,1,Priya Das,Sunita Mishra,02-01-2025,23-01-2026
UP-LKO-2026-10309,P003,Transmission,Tamil Nadu,Coonor,Hubbathala,229/B,B,Sunita Yadav,2.11 acres,Commercial,Disputed,8538.87,RURAL,26.9085,81.2552,19511317.95,3.05,50000,59559519.75,119119039.5,10,11,13,11,32,35,60,73,93,18,55,1,2,1,4,2,2,0,50,0,50,3,6,384,472,88,1,Sanjay Joshi,Sunita Yadav,26-09-2025,15-10-2026
UP-LKO-2026-10310,P001,Highway,Tamil Nadu,Chennai,Kolathur,162/1,1,Rahul Sharma,1.75 acres,Commercial,Active,7082.01,RURAL,26.9087,81.2562,8016835.32,3.32,50000,26665893.26,53331786.52,3,8,11,18,57,39,68,84,92,42,101,1,0,1,4,3,2,0,75,0,50,1,4,250,580,330,1,Meena Patil,Rahul Sharma,15-08-2025,22-04-2026
UP-LKO-2026-10311,P007,Railway,Uttar Pradesh,Lucknow,Malhaur,223/B,B,Vikram Devi,3.84 acres,Commercial,Active,15539.94,URBAN,26.9089,81.2572,62050980.42,1.87,200000,116235333.4,232470666.8,9,13,20,13,47,43,45,65,46,42,40,1,3,1,3,1,1,1,75,100,100,1,10,290,496,206,1,Anil Das,Vikram Devi,16-08-2025,02-06-2026
UP-LKO-2026-10312,P006,Highway,Uttar Pradesh,Lucknow,Malhaur,55/B,B,Manoj Mishra,1.94 acres,Commercial,Disputed,7850.91,URBAN,26.9091,81.2582,19501660.44,1.96,200000,38423254.46,76846508.92,7,9,8,26,42,27,58,33,57,46,113,4,1,1,3,3,0,0,100,100,50,3,6,373,379,6,1,Meena Das,Manoj Mishra,15-12-2025,23-12-2026
UP-LKO-2026-10313,P001,Railway,Bihar,Muzaffarpur,PQR Village,99/B,B,Sunita Kumar,3.32 acres,Commercial,Pending Review,13435.58,RURAL,26.9093,81.2592,18729198.52,3.23,0,60495311.22,120990622.4,8,12,17,19,46,32,52,99,24,25,124,0,1,1,1,2,1,0,0,0,100,0,8,257,402,145,1,Arvind Reddy,Sunita Kumar,19-06-2025,03-03-2026
UP-LKO-2026-10314,P007,Transmission,Maharashtra,Nashik,Ozar,223/B,B,Neha Verma,4.61 acres,Residential,Pending Review,18656.02,RURAL,26.9095,81.2602,63747620.34,3,0,191242861,382485722,1,2,6,29,53,45,56,86,98,46,143,1,0,2,4,0,2,1,25,0,0,1,0,350,623,273,1,Deepa Joshi,Neha Verma,13-09-2025,29-08-2026
UP-LKO-2026-10315,P007,Highway,Tamil Nadu,Coonor,Hubbathala,96/1,1,Priya Singh,2.59 acres,Multi-crop,Active,10481.37,RURAL,26.9097,81.2612,21769805.49,3.51,0,76412017.27,152824034.5,2,3,0,28,26,23,67,119,58,57,0,5,2,0,3,0,1,1,75,50,100,2,0,318,543,225,1,Sanjay Das,Priya Singh,04-06-2025,18-04-2026
UP-LKO-2026-10316,P008,Railway,Maharashtra,Nashik,Ozar,50/B,B,Sunita Kumar,3.69 acres,Multi-crop,Pending Review,14932.91,RURAL,26.9099,81.2622,57641032.6,3.74,200000,215777461.9,431554923.8,4,9,2,12,41,22,45,109,72,11,20,1,1,0,0,3,0,1,25,0,0,0,0,347,522,175,1,Arvind Verma,Sunita Kumar,23-09-2025,05-09-2026
UP-LKO-2026-10317,P003,Transmission,Maharashtra,Nashik,Ozar,160/B,B,Sunita Mishra,1.92 acres,Agricultural,Active,7769.97,RURAL,26.9101,81.2632,29020837.95,3.74,0,108537933.9,217075867.9,7,8,20,17,32,25,54,110,32,32,113,2,0,0,1,1,1,0,75,0,0,1,5,347,377,30,1,Ramesh Das,Sunita Mishra,30-05-2025,12-05-2026
UP-LKO-2026-10318,P009,Railway,Uttar Pradesh,Kanpur,Bithoor,129/1,1,Amit Yadav,0.68 acres,Commercial,Active,2751.86,URBAN,26.9103,81.2642,9012341.5,1.71,0,15411103.97,30822207.93,8,10,17,15,15,12,44,97,35,42,55,4,3,2,3,2,1,0,75,100,100,2,4,297,365,68,1,Deepa Das,Amit Yadav,15-07-2025,08-05-2026
UP-LKO-2026-10319,P005,Railway,Tamil Nadu,Coonor,Hubbathala,129/2A,2A,Priya Mishra,1.06 acres,Residential,Disputed,4289.67,RURAL,26.9105,81.2652,4311118.35,3.12,0,13450689.25,26901378.5,4,4,17,27,29,37,59,54,56,45,30,5,0,1,4,3,0,2,25,0,100,1,4,215,637,422,1,Arvind Joshi,Priya Mishra,02-03-2025,03-10-2025
UP-LKO-2026-10320,P004,Railway,Maharashtra,Nagpur,Butibori,139/3,3,Vikram Gupta,2.73 acres,Agricultural,Pending Review,11047.93,URBAN,26.9107,81.2662,18394803.45,1.38,0,25384828.76,50769657.52,3,7,2,18,51,24,58,33,67,11,37,2,1,0,4,0,1,2,0,0,100,3,1,246,547,301,1,Anil Patil,Vikram Gupta,10-04-2025,12-12-2025
UP-LKO-2026-10321,P003,Railway,Bihar,Muzaffarpur,PQR Village,167/B,B,Neha Mishra,4.68 acres,Commercial,Active,18939.3,RURAL,26.9109,81.2672,21420348.3,3.58,50000,76734846.91,153469693.8,9,9,20,21,23,38,89,63,59,25,26,5,1,2,3,3,1,0,100,50,0,3,1,299,453,154,1,Meena Yadav,Neha Mishra,11-10-2025,06-08-2026
UP-LKO-2026-10322,P003,Railway,Maharashtra,Pune,Hinjewadi,245/3,3,Rahul Yadav,3.02 acres,Agricultural,Pending Review,12221.52,URBAN,26.9111,81.2682,40954313.52,1.36,0,55697866.39,111395732.8,1,6,11,28,46,38,61,42,45,23,126,1,3,1,0,0,0,0,100,50,100,1,10,355,283,0,0,Kavita Sharma,Rahul Yadav,24-07-2025,14-07-2026
UP-LKO-2026-10323,P001,Railway,Bihar,Siwan,XYZ Village,184/3,3,Priya Gupta,2.92 acres,Commercial,Verified,11816.83,RURAL,26.9113,81.2692,35663192.94,3.68,200000,131440550,262881100,5,7,6,14,36,43,61,117,26,36,115,2,0,1,4,0,1,2,75,100,0,3,1,269,618,349,1,Deepa Patil,Priya Gupta,15-10-2025,11-07-2026
UP-LKO-2026-10324,P002,Highway,Uttar Pradesh,Varanasi,Sarnath,135/B,B,Rahul Singh,0.64 acres,Commercial,Verified,2589.99,RURAL,26.9115,81.2702,9577783.02,3.38,0,32372906.61,64745813.22,8,12,5,30,30,42,44,112,92,22,92,5,0,1,4,1,2,0,75,0,0,2,3,302,492,190,1,Arvind Singh,Rahul Singh,27-01-2025,25-11-2025
UP-LKO-2026-10325,P008,Highway,Bihar,Siwan,XYZ Village,126/A,A,Vikram Singh,0.72 acres,Agricultural,Pending Review,2913.74,RURAL,26.9117,81.2712,7864184.26,2.6,200000,20646879.08,41293758.15,1,4,12,28,36,26,68,103,95,33,82,0,1,2,2,0,2,0,75,50,0,0,2,286,479,193,1,Arvind Das,Vikram Singh,30-07-2025,12-05-2026
UP-LKO-2026-10326,P009,Highway,Maharashtra,Nashik,Ozar,181/2A,2A,Rahul Gupta,3.83 acres,Multi-crop,Pending Review,15499.47,RURAL,26.9119,81.2722,50559271.14,2.64,50000,133526475.8,267052951.6,5,5,15,24,36,10,89,62,37,53,99,0,0,2,4,2,0,0,0,0,100,0,6,339,371,32,1,Ramesh Verma,Rahul Gupta,06-01-2025,11-12-2025
UP-LKO-2026-10327,P004,Highway,Maharashtra,Nashik,Ozar,239/3,3,Amit Mishra,3.53 acres,Residential,Verified,14285.42,RURAL,26.9121,81.2732,35084991.52,2.06,200000,72475082.53,144950165.1,1,1,18,14,19,40,73,93,15,10,39,5,3,2,1,2,0,0,0,0,50,1,0,225,324,99,1,Arvind Verma,Amit Mishra,16-02-2025,29-09-2025
UP-LKO-2026-10328,P008,Highway,Uttar Pradesh,Kanpur,Bithoor,74/A,A,Ramesh Yadav,2.94 acres,Residential,Verified,11897.77,URBAN,26.9123,81.2742,16252353.82,1.1,50000,17927589.2,35855178.4,7,8,19,13,18,12,57,101,54,58,31,4,1,2,1,0,0,0,0,0,50,0,7,329,313,0,0,Rajesh Verma,Ramesh Yadav,01-10-2025,26-08-2026
UP-LKO-2026-10329,P005,Highway,Tamil Nadu,Karaikudi,Kanadukathan,63/A,A,Sunita Yadav,2.19 acres,Agricultural,Verified,8862.62,RURAL,26.9125,81.2752,32623304.22,3.71,50000,121082458.7,242164917.3,8,11,9,21,56,35,34,110,40,18,78,2,0,2,0,3,1,0,50,0,50,1,3,349,449,100,1,Anil Sharma,Sunita Yadav,08-05-2025,22-04-2026
UP-LKO-2026-10330,P007,Railway,Bihar,Muzaffarpur,PQR Village,128/2A,2A,Rahul Singh,1.19 acres,Multi-crop,Pending Review,4815.76,RURAL,26.9127,81.2762,13734547.52,2.74,0,37632660.2,75265320.41,8,9,9,27,30,25,70,99,41,44,51,5,3,0,1,2,0,1,100,50,0,3,9,320,516,196,1,Priya Singh,Rahul Singh,16-10-2025,01-09-2026
UP-LKO-2026-10331,P001,Railway,Tamil Nadu,Chennai,Kolathur,75/3,3,Manoj Gupta,0.53 acres,Residential,Active,2144.84,RURAL,26.9129,81.2772,7245269.52,2.55,50000,18525437.28,37050874.55,8,8,17,15,47,25,86,117,29,11,43,3,2,2,2,1,0,0,75,50,100,0,9,316,360,44,1,Sanjay Sharma,Manoj Gupta,30-08-2025,12-07-2026
UP-LKO-2026-10332,P001,Highway,Uttar Pradesh,Kanpur,Bithoor,117/2A,2A,Pooja Singh,1.73 acres,Residential,Disputed,7001.07,URBAN,26.9131,81.2782,8667324.66,1.79,50000,15564511.14,31129022.28,9,13,0,30,44,32,50,70,99,35,0,0,1,0,3,0,1,0,75,100,100,1,9,353,405,52,1,Ramesh Patil,Pooja Singh,03-11-2025,22-10-2026
UP-LKO-2026-10333,P009,Railway,Tamil Nadu,Karaikudi,Kanadukathan,118/2A,2A,Amit Singh,4.02 acres,Commercial,Verified,16268.38,RURAL,26.9133,81.2792,23328856.92,3.51,0,81884287.79,163768575.6,7,8,4,21,54,39,43,109,26,16,103,2,2,0,1,1,2,1,75,0,100,0,9,267,548,281,1,Sanjay Yadav,Amit Singh,30-01-2025,24-10-2025
UP-LKO-2026-10334,P002,Railway,Tamil Nadu,Coonor,Hubbathala,129/B,B,Ramesh Singh,4.46 acres,Agricultural,Verified,18049,RURAL,26.9135,81.2802,21694898,3.15,0,68338928.7,136677857.4,1,3,12,13,21,16,38,51,58,40,90,3,3,0,1,3,1,2,100,100,100,2,8,308,612,304,1,Kavita Singh,Ramesh Singh,11-12-2025,15-10-2026
UP-LKO-2026-10335,P001,Railway,Bihar,Siwan,XYZ Village,162/2A,2A,Pooja Gupta,4.1 acres,Residential,Verified,16592.13,RURAL,26.9137,81.2812,20839715.28,3.89,200000,81266492.44,162532984.9,10,13,12,16,36,27,59,51,68,39,139,4,3,2,2,2,0,0,0,0,0,0,2,342,356,14,1,Deepa Das,Pooja Gupta,17-07-2025,24-06-2026
UP-LKO-2026-10336,P005,Railway,Bihar,Muzaffarpur,PQR Village,69/3,3,Neha Mishra,4.16 acres,Agricultural,Pending Review,16834.94,RURAL,26.9139,81.2822,36026771.6,2.68,200000,96751747.89,193503495.8,3,3,2,28,27,21,49,79,85,32,125,1,3,1,2,3,1,2,25,0,100,2,4,285,696,411,1,Arvind Joshi,Neha Mishra,04-07-2025,15-04-2026
UP-LKO-2026-10337,P003,Highway,Maharashtra,Pune,Hinjewadi,113/B,B,Pooja Singh,1.33 acres,Multi-crop,Pending Review,5382.32,URBAN,26.9141,81.2832,16130813.04,1.59,50000,25697992.73,51395985.47,5,7,5,27,20,21,53,71,40,33,72,3,2,2,2,1,1,0,100,100,100,1,8,314,340,26,1,Arvind Das,Pooja Singh,28-03-2025,05-02-2026
UP-LKO-2026-10338,P005,Transmission,Uttar Pradesh,Kanpur,Bithoor,242/A,A,Neha Mishra,3.07 acres,Multi-crop,Disputed,12423.86,URBAN,26.9143,81.2842,33469878.84,1.02,200000,34339276.42,68678552.83,1,4,6,28,28,28,74,82,72,40,30,5,1,1,4,3,2,0,25,0,100,1,5,270,532,262,1,Sanjay Sharma,Neha Mishra,12-10-2025,09-07-2026
UP-LKO-2026-10339,P008,Highway,Tamil Nadu,Chennai,Kolathur,221/A,A,Sunita Verma,2.46 acres,Agricultural,Verified,9955.28,RURAL,26.9145,81.2852,10313670.08,2.05,50000,21193023.66,42386047.33,6,8,18,26,29,39,46,120,27,17,104,0,2,0,0,3,0,2,0,0,0,0,7,343,634,291,1,Arvind Joshi,Sunita Verma,30-04-2025,08-04-2026
UP-LKO-2026-10340,P003,Railway,Tamil Nadu,Karaikudi,Kanadukathan,39/2A,2A,Manoj Sharma,3.81 acres,Agricultural,Disputed,15418.54,RURAL,26.9147,81.2862,40782038.3,3.02,200000,123361755.7,246723511.3,3,6,15,12,39,20,38,50,26,22,127,1,0,2,3,3,1,2,100,50,0,2,3,219,582,363,1,Deepa Deshmukh,Manoj Sharma,01-04-2025,06-11-2025
UP-LKO-2026-10341,P003,Highway,Bihar,Patna,ABC Village,139/A,A,Neha Yadav,4.46 acres,Commercial,Verified,18049,RURAL,26.9149,81.2872,18211441,3.21,200000,58658725.61,117317451.2,8,9,5,15,60,41,69,46,65,43,67,4,1,2,3,3,1,2,0,0,0,3,7,263,714,451,1,Anil Deshmukh,Neha Yadav,21-06-2025,11-03-2026
UP-LKO-2026-10342,P007,Transmission,Uttar Pradesh,Lucknow,Malhaur,204/1,1,Manoj Gupta,2.67 acres,Residential,Disputed,10805.12,URBAN,26.9151,81.2882,14457250.56,1.84,0,26601341.03,53202682.06,4,4,3,23,20,33,87,63,70,28,115,1,3,1,0,3,2,0,100,0,100,2,2,378,504,126,1,Anil Iyer,Manoj Gupta,25-03-2025,07-04-2026
UP-LKO-2026-10343,P005,Transmission,Tamil Nadu,Coonor,Hubbathala,209/1,1,Rahul Yadav,1.09 acres,Residential,Verified,4411.08,RURAL,26.9153,81.2892,9166224.24,2.65,200000,24490494.24,48980988.47,1,5,0,25,42,34,79,104,18,40,0,2,1,2,2,0,0,2,75,100,100,1,5,363,582,219,1,Sanjay Sharma,Rahul Yadav,09-06-2025,07-06-2026
